"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"106","0<=X<200",24,"critical/order existing credit","other",11938,"<100","1<=X<4",2,"male single","co applicant",3,"car",39,"stores","own",2,"high qualif/self emp/mgmt",2,"1","1","bad"
"107","no checking",18,"all paid","new car",6458,"<100",">=7",2,"male single","none",4,"no known property",39,"bank","own",2,"high qualif/self emp/mgmt",2,"1","1","bad"
"108","0<=X<200",12,"existing paid","new car",6078,"<100","4<=X<7",2,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"0","1","good"
"109","<0",24,"existing paid","furniture/equipment",7721,"no known savings","<1",1,"female div/dep/mar","none",2,"life insurance",30,"stores","own",1,"skilled",1,"1","0","good"
"110","0<=X<200",14,"existing paid","business",1410,"500<=X<1000",">=7",1,"male mar/wid","none",2,"real estate",35,"stores","own",1,"skilled",1,"1","1","good"
"111","0<=X<200",6,"delayed previously","business",1449,"100<=X<500",">=7",1,"male div/sep","none",2,"car",31,"bank","own",2,"skilled",2,"0","1","good"
"112",">=200",15,"existing paid","education",392,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","rent",1,"skilled",1,"1","1","good"
"113","0<=X<200",18,"existing paid","new car",6260,"<100","4<=X<7",3,"male single","none",3,"real estate",28,"stores","rent",1,"unskilled resident",1,"0","1","good"
"114","no checking",36,"critical/order existing credit","new car",7855,"<100","1<=X<4",4,"female div/dep/mar","none",2,"real estate",25,"stores","own",2,"skilled",1,"1","1","bad"
"115","<0",12,"existing paid","radio/tv",1680,"500<=X<1000",">=7",3,"male mar/wid","none",1,"real estate",35,"stores","own",1,"skilled",1,"0","1","good"
"116","no checking",48,"critical/order existing credit","radio/tv",3578,"no known savings",">=7",4,"male single","none",1,"real estate",47,"stores","own",1,"skilled",1,"1","1","good"
"117","<0",42,"existing paid","radio/tv",7174,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"118","<0",10,"critical/order existing credit","furniture/equipment",2132,"no known savings","<1",2,"female div/dep/mar","co applicant",3,"real estate",27,"stores","rent",2,"skilled",1,"0","0","good"
"119","<0",33,"critical/order existing credit","furniture/equipment",4281,"500<=X<1000","1<=X<4",1,"female div/dep/mar","none",4,"car",23,"stores","own",2,"skilled",1,"0","1","bad"
"120","0<=X<200",12,"critical/order existing credit","new car",2366,"500<=X<1000","4<=X<7",3,"male div/sep","none",3,"car",36,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"121","<0",21,"existing paid","radio/tv",1835,"<100","1<=X<4",3.22,"female div/dep/mar","none",2,"real estate",25,"stores","own",2,"skilled",1,"1","1","bad"
"122","no checking",24,"critical/order existing credit","used car",3868,"<100",">=7",4,"female div/dep/mar","none",2,"car",41,"stores","rent",2,"high qualif/self emp/mgmt",1,"1","1","good"
"123","no checking",12,"existing paid","furniture/equipment",1768,"<100","1<=X<4",3,"male single","none",2,"real estate",24,"stores","rent",1,"unskilled resident",1,"0","1","good"
"124",">=200",11,"critical/order existing credit","new car",781,"<100",">=7",4,"male single","none",4,"no known property",63,"stores","for free",2,"skilled",1,"1","1","good"
"125","0<=X<200",18,"existing paid","furniture/equipment",1924,"no known savings","<1",4,"female div/dep/mar","none",3,"real estate",27,"stores","rent",1,"skilled",1,"0","1","bad"
"126","<0",12,"critical/order existing credit","new car",2121,"<100","1<=X<4",4,"male single","none",2,"life insurance",30,"stores","own",2,"skilled",1,"0","1","good"
"127","<0",12,"existing paid","radio/tv",701,"<100","1<=X<4",4,"male mar/wid","none",2,"real estate",40,"stores","own",1,"unskilled resident",1,"0","1","good"
"128","0<=X<200",12,"existing paid","repairs",639,"<100","1<=X<4",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"0","1","bad"
"129","0<=X<200",12,"critical/order existing credit","used car",1860,"<100","unemployed",4,"male single","none",2,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"130","<0",12,"critical/order existing credit","new car",3499,"<100","1<=X<4",3,"female div/dep/mar","co applicant",2,"real estate",29,"stores","own",2,"skilled",1,"0","1","bad"
"131","0<=X<200",48,"existing paid","new car",8487,"no known savings","4<=X<7",1,"female div/dep/mar","none",2,"car",24,"stores","own",1,"skilled",1,"0","1","good"
"132","<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male single","none",3,"life insurance",29,"stores","own",1,"skilled",1,"1","1","bad"
"133","no checking",15,"existing paid","furniture/equipment",2708,"<100","<1",2,"male single","none",3,"life insurance",27,"bank","own",2,"unskilled resident",1,"0","1","good"
"134","no checking",18,"existing paid","furniture/equipment",1984,"<100","1<=X<4",4,"male single","none",4,"no known property",47,"bank","for free",2,"skilled",1,"0","1","good"
"135","no checking",60,"existing paid","radio/tv",10144,"100<=X<500","4<=X<7",2,"female div/dep/mar","none",4,"real estate",21,"stores","own",1,"skilled",1,"1","1","good"
"136","no checking",12,"critical/order existing credit","radio/tv",1240,"no known savings",">=7",4,"female div/dep/mar","none",2,"real estate",38,"stores","own",2,"skilled",1,"1","1","good"
"137","no checking",27,"delayed previously","used car",8613,">=1000","1<=X<4",2,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"0","1","good"
"138","0<=X<200",12,"existing paid","radio/tv",766,"500<=X<1000","1<=X<4",4,"male single","none",3,"real estate",66,"stores","own",1,"unskilled resident",1,"0","1","bad"
"139","0<=X<200",15,"critical/order existing credit","radio/tv",2728,"no known savings","4<=X<7",4,"male single","guarantor",2,"real estate",35,"bank","own",3,"skilled",1,"1","1","good"
"140",">=200",12,"existing paid","radio/tv",1881,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"1","1","good"
"141",">=200",6,"existing paid","new car",709,">=1000","<1",2,"male mar/wid","none",2,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"0","0","good"
"142","no checking",36,"existing paid","used car",4795,"<100","<1",4,"female div/dep/mar","none",1,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"143","<0",27,"existing paid","radio/tv",3416,"<100","1<=X<4",3,"male single","none",2,"car",27,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"144","<0",18,"existing paid","furniture/equipment",2462,"<100","1<=X<4",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"0","1","bad"
"145","no checking",21,"critical/order existing credit","furniture/equipment",2288,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","own",1,"skilled",1,"1","1","good"
"146","0<=X<200",48,"all paid","business",3566,"100<=X<500","4<=X<7",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"0","1","good"
"147","<0",6,"critical/order existing credit","new car",860,"<100",">=7",1,"female div/dep/mar","none",4,"no known property",39,"stores","own",2,"skilled",1,"1","1","good"
"148","no checking",12,"critical/order existing credit","new car",682,"100<=X<500","4<=X<7",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,"skilled",1,"1","1","good"
"149","<0",36,"critical/order existing credit","furniture/equipment",5371,"<100","1<=X<4",3,"male single","guarantor",2,"life insurance",28,"stores","own",2,"skilled",1,"0","1","good"
"150","no checking",18,"critical/order existing credit","radio/tv",1582,">=1000",">=7",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"0","1","good"
"151","no checking",6,"existing paid","radio/tv",1346,"100<=X<500",">=7",2,"male single","none",4,"no known property",42,"bank","for free",1,"skilled",2,"1","1","good"
"152","no checking",10,"existing paid","radio/tv",1924,"<100","1<=X<4",1,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"1","0","good"
"153",">=200",36,"existing paid","radio/tv",5848,"<100","1<=X<4",4,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"0","1","good"
"154","0<=X<200",24,"critical/order existing credit","used car",7758,">=1000",">=7",2,"female div/dep/mar","none",4,"no known property",29,"stores","rent",1,"skilled",1,"0","1","good"
"155","0<=X<200",24,"delayed previously","business",6967,"100<=X<500","4<=X<7",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"156","<0",12,"existing paid","furniture/equipment",1282,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",20,"stores","rent",1,"skilled",1,"0","1","bad"
"157","<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",2,"0","0","good"
"158","<0",12,"all paid","retraining",339,"<100",">=7",4,"male mar/wid","none",1,"car",45,"bank","own",1,"unskilled resident",1,"0","1","good"
"159","0<=X<200",24,"existing paid","new car",3512,"100<=X<500","4<=X<7",2,"male single","none",3,"car",38,"bank","own",2,"skilled",1,"1","1","good"
"160","no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1<=X<4",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"0","1","good"
"161","no checking",24,"critical/order existing credit","radio/tv",2872,"100<=X<500",">=7",3,"male single","none",4,"real estate",36,"stores","own",1,"skilled",2,"1","1","good"
"162","no checking",18,"critical/order existing credit","new car",1055,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"0","1","good"
"163","no checking",15,"existing paid","domestic appliance",1262,"500<=X<1000","4<=X<7",4,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"1","1","good"
"164","0<=X<200",10,"existing paid","new car",7308,"<100","unemployed",2,"male single","none",4,"no known property",70,"bank","for free",1,"high qualif/self emp/mgmt",1,"1","1","good"
"165","no checking",36,"existing paid","new car",909,"500<=X<1000",">=7",4,"male single","none",4,"life insurance",36,"stores","own",1,"skilled",1,"0","1","good"
"166","no checking",6,"existing paid","furniture/equipment",2978,"500<=X<1000","1<=X<4",1,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"1","1","good"
"167","<0",18,"existing paid","furniture/equipment",1131,"<100","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"0","1","bad"
"168","0<=X<200",11,"existing paid","furniture/equipment",1577,">=1000","<1",4,"female div/dep/mar","none",1,"real estate",20,"stores","own",1,"skilled",1,"0","1","good"
"169","no checking",25,"existing paid","furniture/equipment",3972,"<100","4<=X<7",2,"female div/dep/mar","none",4,"life insurance",25,"stores","rent",1,"skilled",1,"1","1","good"
"170","0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"1","1","bad"
"171","<0",15,"no credits/all paid","new car",950,"<100",">=7",4,"male single","none",3,"car",33,"stores","rent",2,"skilled",2,"0","1","bad"
